	0	0.01	0.02	0.04	0.06	0.08	0.1	0.15	0.2
2	1.000	0.577	0.321	0.040	0.043	0.000	0.058	0.000	0.000
4	0.999	0.996	0.957	0.619	0.421	0.113	0.245	0.007	0.002
5	1.000	0.919	0.916	0.735	0.346	0.178	0.338	0.014	0.003
8	1.000	0.988	0.981	0.890	0.597	0.493	0.568	0.073	0.001
10	1.000	0.976	0.946	0.842	0.751	0.545	0.689	0.026	0.002
20	1.000	0.979	0.985	0.944	0.649	0.509	0.756	0.357	0.015
25	1.000	0.994	0.954	0.737	0.481	0.415	0.674	0.150	0.008
40	0.997	0.975	0.859	0.539	0.362	0.369	0.620	0.108	0.014
50	0.997	0.996	0.859	0.643	0.405	0.185	0.556	0.027	0.023
100	0.999	0.843	0.611	0.377	0.133	0.060	0.452	0.015	0.005
200	0.974	0.736	0.480	0.231	0.062	0.029	0.165	0.003	0.001
