	0	0.01	0.02	0.04	0.06	0.08	0.1	0.15	0.2
2	1.000	0.872	0.909	0.991	0.883	0.992	0.941	0.900	0.000
4	1.000	0.999	0.995	0.996	0.990	0.981	0.977	0.945	0.832
5	1.000	0.999	0.999	0.990	0.957	0.984	0.960	0.810	0.752
8	1.000	0.998	0.998	0.986	0.965	0.935	0.881	0.805	0.485
10	1.000	0.998	0.998	0.983	0.962	0.941	0.903	0.796	0.413
20	1.000	0.996	0.993	0.969	0.946	0.904	0.921	0.519	0.213
25	1.000	0.996	0.990	0.937	0.901	0.826	0.880	0.384	0.135
40	1.000	0.998	0.979	0.925	0.815	0.787	0.850	0.343	0.100
50	1.000	0.997	0.979	0.896	0.874	0.671	0.804	0.197	0.091
100	1.000	0.981	0.975	0.811	0.661	0.367	0.638	0.107	0.053
200	1.000	0.949	0.850	0.680	0.346	0.278	0.520	0.028	0.013
