	0	0.01	0.02	0.04	0.06	0.08	0.1	0.15	0.2
2	1.000	0.497	0.391	0.050	0.128	0.000	0.449	0.000	0.000
4	0.997	0.999	0.898	0.533	0.238	0.089	0.308	0.020	0.016
5	1.000	0.791	0.863	0.549	0.281	0.173	0.322	0.031	0.017
8	0.992	0.969	0.896	0.818	0.559	0.428	0.486	0.076	0.002
10	0.880	0.918	0.935	0.696	0.605	0.406	0.654	0.040	0.005
20	0.951	0.876	0.882	0.758	0.576	0.532	0.727	0.195	0.028
25	0.994	0.976	0.858	0.628	0.357	0.337	0.636	0.142	0.020
40	0.856	0.877	0.681	0.462	0.384	0.340	0.550	0.104	0.025
50	0.834	0.830	0.782	0.511	0.376	0.247	0.503	0.050	0.041
100	0.927	0.759	0.527	0.293	0.220	0.112	0.247	0.034	0.018
200	0.631	0.535	0.395	0.086	0.060	0.056	0.061	0.010	0.005
