	0	0.01	0.02	0.04	0.06	0.08	0.1	0.15	0.2
2	1.000	1.000	1.000	0.999	0.999	0.998	0.999	0.979	0.000
4	1.000	1.000	1.000	1.000	1.000	1.000	0.999	0.997	0.994
5	1.000	1.000	1.000	1.000	0.995	1.000	0.999	0.982	0.984
8	1.000	1.000	1.000	1.000	0.999	0.997	0.989	0.995	0.971
10	1.000	1.000	1.000	0.999	0.998	0.997	0.994	0.993	0.946
20	1.000	1.000	1.000	0.998	0.999	0.996	0.997	0.966	0.618
25	1.000	1.000	0.999	0.996	0.995	0.991	0.994	0.925	0.779
40	1.000	1.000	0.999	0.997	0.990	0.986	0.993	0.935	0.727
50	1.000	1.000	0.999	0.995	0.995	0.976	0.986	0.788	0.639
100	1.000	1.000	0.999	0.991	0.980	0.920	0.958	0.721	0.557
200	1.000	0.998	0.993	0.980	0.916	0.901	0.863	0.376	0.194
